Model,RMSE,MAE,R2_Score
Gradient Boosting,2.91329024017487,2.1870634751087237,0.9612694198309555
XGBoost,3.530125854021776,2.704790650759207,0.9431321417083326
Random Forest,3.567526116320621,2.6692845741692857,0.9419207744168899
SVR,3.6989921359146916,2.5964790973677276,0.9375613778534446
LightGBM,3.7558059407558444,2.918628087929967,0.9356286253059346
LASSO Regression,3.8569024636111116,2.7463490907521995,0.932116565455
Elastic Net,4.007968029671868,2.9023673646144945,0.9266947647104969
Ridge Regression,4.052906790289048,2.9595616402921436,0.9250417003515011
Linear Regression,4.1541051661350785,3.0585766073499783,0.921251648920573
